,driver_standings)_id,race_id,driver_id,points,position,position_text,wins
0,2,18,2,8.0,2,2,0
1,3,18,3,6.0,3,3,0
2,4,18,4,5.0,4,4,0
3,5,18,5,4.0,5,5,0
4,6,18,6,3.0,6,6,0
5,7,18,7,2.0,7,7,0
6,8,18,8,1.0,8,8,0
7,9,19,1,14.0,1,1,1
8,10,19,2,11.0,3,3,0
9,11,19,3,6.0,6,6,0
10,12,19,4,6.0,7,7,0
11,13,19,5,10.0,4,4,0
12,14,19,6,3.0,9,9,0
13,15,19,7,2.0,10,10,0
14,16,19,8,11.0,2,2,1
15,17,19,9,8.0,5,5,0
16,18,19,15,5.0,8,8,0
17,19,19,17,2.0,11,11,0
18,20,19,14,0.0,12,12,0
19,21,19,18,0.0,13,13,0
20,22,19,12,0.0,14,14,0
21,23,19,21,0.0,15,15,0
22,24,19,22,0.0,16,16,0
23,25,19,19,0.0,17,17,0
24,26,19,11,0.0,18,18,0
25,27,20,1,14.0,3,3,1
26,28,20,2,16.0,2,2,0
27,29,20,3,7.0,8,8,0
28,30,20,4,6.0,9,9,0
29,31,20,5,14.0,5,5,0
30,32,20,6,3.0,11,11,0
31,33,20,7,2.0,12,12,0
32,34,20,8,19.0,1,1,1
33,35,20,9,14.0,4,4,0
34,36,20,15,8.0,7,7,0
35,37,20,17,4.0,10,10,0
36,38,20,14,0.0,13,13,0
37,39,20,18,0.0,15,15,0
38,40,20,12,0.0,17,17,0
39,41,20,21,0.0,18,18,0
40,42,20,22,0.0,16,16,0
41,43,20,19,0.0,19,19,0
42,44,20,11,0.0,20,20,0
43,45,20,13,10.0,6,6,1
44,46,20,10,0.0,14,14,0
45,47,20,16,0.0,21,21,0
46,48,21,1,20.0,2,2,1
47,49,21,2,16.0,5,5,0
48,50,21,3,7.0,9,9,0
49,51,21,4,6.0,10,10,0
50,52,21,5,14.0,6,6,0
51,53,21,6,5.0,11,11,0
52,54,21,7,2.0,13,13,0
53,55,21,8,29.0,1,1,2
54,56,21,9,19.0,3,3,0
55,57,21,15,9.0,7,7,0
56,58,21,17,8.0,8,8,0
57,59,21,14,0.0,15,15,0
58,60,21,18,3.0,12,12,0
59,61,21,12,0.0,18,18,0
60,62,21,21,0.0,16,16,0
61,63,21,22,0.0,17,17,0
62,64,21,19,0.0,20,20,0
63,65,21,11,0.0,19,19,0
64,66,21,13,18.0,4,4,1
65,67,21,10,0.0,14,14,0
66,68,21,16,0.0,21,21,0
67,69,22,1,28.0,3,3,1
68,70,22,2,20.0,5,5,0
69,71,22,3,8.0,10,10,0
70,72,22,4,9.0,8,8,0
71,73,22,5,14.0,6,6,0
72,74,22,6,5.0,11,11,0
73,75,22,7,2.0,13,13,0
74,76,22,8,35.0,1,1,2
75,77,22,9,24.0,4,4,0
76,78,22,15,9.0,9,9,0
77,79,22,17,10.0,7,7,0
78,80,22,14,0.0,14,14,0
79,81,22,18,3.0,12,12,0
80,82,22,12,0.0,18,18,0
81,83,22,21,0.0,16,16,0
82,84,22,22,0.0,17,17,0
83,85,22,19,0.0,20,20,0
84,86,22,11,0.0,19,19,0
85,87,22,13,28.0,2,2,2
86,88,22,10,0.0,15,15,0
87,89,22,16,0.0,21,21,0
88,90,22,20,0.0,22,22,0
89,91,23,1,38.0,1,1,2
90,92,23,2,20.0,5,5,0
91,93,23,3,8.0,10,10,0
92,94,23,4,9.0,8,8,0
93,95,23,5,15.0,6,6,0
94,96,23,6,7.0,11,11,0
95,97,23,7,2.0,15,15,0
96,98,23,8,35.0,2,2,2
97,99,23,9,32.0,4,4,0
98,100,23,15,9.0,9,9,0
99,101,23,17,15.0,7,7,0
100,102,23,14,0.0,16,16,0
101,103,23,18,3.0,13,13,0
102,104,23,12,0.0,19,19,0
103,105,23,21,0.0,18,18,0
